Date,TECH,FIN,ENERGY,STAPLES,HEALTH
2013-02-08,100.0,100.0,100.0,100.0,100.0
2013-02-11,100.60041744378157,100.7049723899219,99.54939919645386,99.80793419561387,99.97009919253168
2013-02-12,100.06614304722592,102.50778901369706,100.2330068163748,99.21318649713842,99.98166055070548
2013-02-13,100.28624338016805,101.86366078076298,100.18836041922674,98.96521754059624,99.9778532757219
2013-02-14,100.06257551972323,102.40315305806631,100.65595571088863,98.96204967380257,100.15773787401744
2013-02-15,99.60538266625409,101.71847520859943,99.17353770155847,99.47912003547692,100.84650289572382
2013-02-19,100.37831796845231,103.0013819267373,100.4336708971538,100.5085990393515,101.37660978315834
2013-02-20,98.87274988516566,100.92580752933324,98.89540143289895,100.60886358268833,100.7102455694544
2013-02-21,97.28951876702148,99.3676707234863,98.16464216533485,101.05291215568866,100.43485759000816
2013-02-22,98.24919077287882,100.50537391753966,98.79289208213338,101.72777050966386,100.36303209496347
2013-02-25,96.94974156408655,97.09916976343365,96.54293201833421,100.93885863076144,98.98410844787242
2013-02-26,97.52920187116241,97.32429708653892,97.65627163611337,101.47989484449229,98.91067826762558
2013-02-27,98.4548641910811,99.41163158533254,99.20915134630687,102.05710374713138,100.0160623636025
2013-02-28,97.97753598520458,98.77753013127358,99.06596570943469,101.87126105756978,99.38973466972281
2013-03-01,97.93852800984236,99.30905194235832,98.62939123702405,102.20603280530163,99.42609260158072
2013-03-04,97.98101088215773,100.37616942474408,97.91599560470007,103.06443336575965,100.45059450626768
2013-03-05,99.53975802584793,101.21020556884277,98.73134292375424,103.45587357325994,101.08290534731714
2013-03-06,100.01707137770282,102.78524011681445,99.12358311787034,103.49132165555099,101.05794771466515
2013-03-07,100.53742623039517,104.3548997482841,99.38157799625168,103.54940835059645,101.23606275169675
2013-03-08,100.1028966942999,104.19416026517506,99.83385343379301,103.67116676660035,101.30375084442332
2013-03-11,100.53836991600966,105.26249212103065,99.87133057348055,103.63830417448081,102.03366052160136
2013-03-12,99.66976146159203,104.18340701214093,100.02283749939839,103.48843770585938,102.74856340450769
2013-03-13,99.65019139550255,104.30005533671762,100.0372405651826,103.19406640375357,102.4859202879821
2013-03-14,100.41578291847127,105.35668914120346,101.34609533851079,103.33606442694787,102.71834746725843
2013-03-15,100.94124038929478,106.47662185384279,100.98551487417441,102.39211276824052,102.00779403017508
2013-03-18,101.02676155868777,105.14019218752347,99.77533281849202,102.17348963709749,101.40589315681336
2013-03-19,100.57962357897144,104.47427200206079,98.96805406211749,102.83376713056383,101.52631254556492
2013-03-20,100.78986713721407,104.84549924198039,99.29278404538722,103.67737763365226,102.14774129815751
2013-03-21,97.81460468912562,102.94949352551725,98.89005545440317,103.51504990344083,101.61941499381166
2013-03-22,98.30007992928927,103.32227878369629,99.69246467802057,104.64560948177571,101.95946702871883
2013-03-25,97.78856944562776,102.54729266446634,98.93266118318594,104.47082199053614,101.90485593834941
2013-03-26,98.42437652121374,102.66624028736051,100.33186348450415,105.76746374795785,103.47425571332873
2013-03-27,98.49179459374689,102.05189850983771,100.35547810412785,105.15598489805429,103.99286688731681
2013-03-28,98.54477739439945,101.64526669080749,99.85299799309682,105.74140642264216,104.90973037330009
2013-04-01,97.5579070337207,101.3605747895586,100.09493125901562,106.03183766798966,105.7088815188423
2013-04-02,98.31736241437366,101.76083500504961,100.10307009506425,107.06911660836307,107.93592753647332
2013-04-03,97.65439293693332,99.27604585802705,98.82896982919281,106.05061873327637,107.93772321916497
2013-04-04,97.39838300690252,100.23992097599212,98.182543490797,106.52735878486406,108.42695142811623
2013-04-05,96.48459492129393,100.53358373276235,98.222397937585,105.93731071491771,108.0173528551172
2013-04-08,96.84747518543071,101.42285961727234,98.93693813529362,107.17778783073474,108.0542818755265
2013-04-09,98.96334607475487,102.30116192610845,99.60726355901306,107.02132195216612,108.30702355097657
2013-04-10,101.16433958834506,103.67917396140672,100.38108414865523,107.68903037030837,110.01577091484296
2013-04-11,99.94070210092119,103.44562251647929,100.67609234031335,108.05740836542368,111.10132752906179
2013-04-12,99.26884960275501,102.95110761291939,99.15361930505797,108.25270267403535,111.12355864248036
2013-04-15,97.62680637539106,101.4958666369725,95.07447731582323,107.025910046027,109.27450871592484
2013-04-16,99.0712729136937,102.9960529299951,96.09378544241893,109.1649664932596,110.92035248703137
2013-04-17,96.8482567346758,100.1165413692664,94.09724524667683,108.34243656502818,111.1588085211749
2013-04-18,96.31702646387593,98.87918683298237,94.6003761267999,108.75459999396502,109.59408387871703
2013-04-19,97.10553659755077,99.72946481884152,94.30189104109562,110.40516637980436,111.0325746483849
2013-04-22,98.79644917586988,100.0727071819051,95.35339020752117,110.62783054161815,110.7417212701993
2013-04-23,99.71992593533305,102.30630235846753,96.18220909316581,111.62364629240062,111.27697114814872
2013-04-24,100.221089970099,103.49488593350901,97.3116407247266,108.45474338619154,110.02833477698717
2013-04-25,100.33950123908075,104.11371071016731,97.47527918411092,108.98422627178257,109.91269517032008
2013-04-26,100.78063133015095,103.98453046282086,97.42693795594448,108.95157417269827,110.03860631776364
2013-04-29,102.46276065593204,104.03455898230412,98.65164649948038,109.11532270067148,110.74230339845931
2013-04-30,103.82233293124916,104.07666594275358,99.1014991730992,108.67943274459051,109.36709787921673
2013-05-01,103.15971178583723,102.23401792753477,97.79335138451626,108.6575171774738,108.27845981377602
2013-05-02,104.51705235482602,102.7713853639292,98.90132948431038,109.24004813232389,108.82654308768778
2013-05-03,104.71276576600685,103.25210074881583,100.86207304280481,109.87409633809797,108.36064485451877
2013-05-06,105.39247163058167,105.34596316844214,101.49848829905012,109.29087444006238,107.49452562038174
2013-05-07,104.6425757462997,106.4794855469985,103.54270129531812,109.91254102529034,108.31406604212468
2013-05-08,105.23963955069648,107.63039572470574,104.16494058143502,109.77924030021036,108.79636093685836
2013-05-09,105.06646429409446,106.27580322738508,103.69044006961172,109.41552585544156,108.620794239138
2013-05-10,105.50361127776675,106.64650512532587,102.80650383161615,109.85788812353208,109.39654521637078
2013-05-13,105.46496081523293,107.1358298620287,102.72917985589709,109.76521814049924,109.94747252964652
2013-05-14,105.00067475342678,109.49852384266319,104.08501881172847,110.8283358801148,110.67625770883316
2013-05-15,104.9421399295168,111.04373561982331,102.9508614344065,112.09294755721339,111.32661727564457
2013-05-16,108.02951874460152,110.35828642915683,102.45418313715982,111.56867276282244,110.57414431474282
2013-05-17,109.28926188604893,112.29486634052783,103.53284436304406,111.17174049896848,110.44051420219523
2013-05-20,109.5980157929423,112.77227469342981,104.68241621245005,109.97718734675246,110.4855830152375
2013-05-21,109.54129194563755,113.52557146468678,104.73468452108376,109.8943080881808,111.78588380735776
2013-05-22,108.17922107509696,112.7570253146914,102.98741382667025,109.78068804535293,111.65435006317925
2013-05-23,108.13955812839322,111.93825944231062,103.01138276447858,108.99919417421467,111.37699878221984
2013-05-24,108.15261971417156,112.4297706561145,102.58977530532378,110.51473490480932,111.20305990823034
2013-05-28,109.22415816160029,114.01272491574403,103.29116696006643,110.53053222850127,112.52930983476261
2013-05-29,109.61097922709351,114.91709201806289,103.20510456726268,107.99896291766177,110.61829993228596
2013-05-30,110.16671559340483,116.83930601591265,102.91189683401983,107.59702863504725,111.21108722294832
2013-05-31,109.46876461144142,114.83852977024809,100.80431947447492,105.56137101257931,108.47050245694535
2013-06-03,111.45116688072476,114.90992895899912,101.96609866927932,106.92368626013786,110.18309172076751
2013-06-04,110.94427509334272,113.64720404911051,101.44843687773076,107.39306196033682,110.03533506298942
2013-06-05,109.96380239190846,111.40698893643992,100.19913886463495,106.13446872180657,108.95189730544226
2013-06-06,109.4161999670473,112.84583264342638,100.90307628434732,106.53064731749811,109.86052680762926
2013-06-07,110.22623697234708,115.00874695709223,101.98391995490219,107.92052907250995,110.66184704489423
2013-06-10,110.36959267634903,115.2726833934188,101.70019990424437,107.71215474573188,111.31278083291842
2013-06-11,109.0739014932395,112.7965356563164,100.34845029270558,107.22328305524489,110.51636414445964
2013-06-12,108.57870609581919,111.91560796631646,99.55341386916477,106.47599111865405,109.8634997080979
2013-06-13,109.86089656593687,113.89421576176954,101.4305513757132,106.83596269753856,111.24206551990525
2013-06-14,108.75932508161358,111.89845741856685,100.34715637630292,106.82361468835029,111.2182382016083
2013-06-17,110.26729314464507,112.91935110605382,101.67197792442614,107.6882461143485,111.6378673934776
2013-06-18,110.75446786851649,113.56177563454281,102.4207645359887,108.09345434553312,112.81826580993854
